	source	source_genesymbol
1	COMPLEX:P01374_Q06643	LTA_LTB
2	COMPLEX:P05106_P06756	ITGAV_ITGB3
3	COMPLEX:P05106_P08514	ITGA2B_ITGB3
4	COMPLEX:P05107_P11215	ITGAM_ITGB2
5	COMPLEX:P05107_P20701	ITGAL_ITGB2
6	COMPLEX:P05107_P20702	ITGAX_ITGB2
7	COMPLEX:P05107_Q13349	ITGAD_ITGB2
8	COMPLEX:P05556_P08648	ITGA5_ITGB1
9	COMPLEX:P05556_P13612	ITGA4_ITGB1
10	COMPLEX:P05556_Q13797	ITGA9_ITGB1
11	COMPLEX:P13612_P26010	ITGA4_ITGB7
12	COMPLEX:P16144_P23229	ITGA6_ITGB4
13	O00182	LGALS9
14	O00220	TNFRSF10A
15	O00300	TNFRSF11B
16	O00468	AGRN
17	O00478	BTN3A3
18	O00481	BTN3A1
19	O00548	DLL1
20	O00592	PODXL
21	O14511	NRG2
22	O14514	ADGRB1
23	O14672	ADAM10
24	O14788	TNFSF11
25	O14944	EREG
26	O15031	PLXNB2
27	O15197	EPHB6
28	O15394	NCAM2
29	O43157	PLXNB1
30	O43184	ADAM12
31	O43323	DHH
32	O43508	TNFSF12
33	O43557	TNFSF14
34	O43914	TYROBP
35	O60462	NRP2
36	O60486	PLXNC1
37	O75051	PLXNA2
38	O75077	ADAM23
39	O75078	ADAM11
40	O75144	ICOSLG
41	O75326	SEMA7A
42	O75330	HMMR
43	O75888	TNFSF13
44	O94856	NFASC
45	O94933	SLITRK3
46	O94991	SLITRK5
47	O95150	TNFSF15
48	O95297	MPZL1
49	O95727	CRTAM
50	O95754	SEMA4F
51	P01133	EGF
52	P01135	TGFA
53	P01374	LTA
54	P01375	TNF
55	P01732	CD8A
56	P01889	HLA-B
57	P01903	HLA-DRA
58	P01906	HLA-DQA2
59	P01909	HLA-DQA1
60	P01911	HLA-DRB1
61	P01920	HLA-DQB1
62	P04083	ANXA1
63	P04216	THY1
64	P04439	HLA-A
65	P04440	HLA-DPB1
66	P04626	ERBB2
67	P05067	APP
68	P05107	ITGB2
69	P05362	ICAM1
70	P06729	CD2
71	P06734	FCER2
72	P06756	ITGAV
73	P07355	ANXA2
74	P07359	GP1BA
75	P07949	RET
76	P07996	THBS1
77	P08069	IGF1R
78	P08174	CD55
79	P08571	CD14
80	P08575	PTPRC
81	P08582	MELTF
82	P08865	RPSA
83	P08913	ADRA2A
84	P09326	CD48
85	P09603	CSF1
86	P10321	HLA-C
87	P10586	PTPRF
88	P10600	TGFB3
89	P10747	CD28
90	P11229	CHRM1
91	P11362	FGFR1
92	P12821	ACE
93	P12830	CDH1
94	P13224	GP1BB
95	P13385	TDGF1
96	P13591	NCAM1
97	P13598	ICAM2
98	P13688	CEACAM1
99	P13747	HLA-E
100	P13762	HLA-DRB4
101	P13765	HLA-DOB
102	P14151	SELL
103	P14209	CD99
104	P14416	DRD2
105	P14555	PLA2G2A
106	P15144	ANPEP
107	P15151	PVR
108	P15514	AREG
109	P15529	CD46
110	P15813	CD1D
111	P15907	ST6GAL1
112	P16070	CD44
113	P16109	SELP
114	P16150	SPN
115	P16284	PECAM1
116	P16410	CTLA4
117	P16422	EPCAM
118	P16473	TSHR
119	P16581	SELE
120	P17693	HLA-G
121	P18089	ADRA2B
122	P19022	CDH2
123	P19256	CD58
124	P19320	VCAM1
125	P20036	HLA-DPA1
126	P20273	CD22
127	P20309	CHRM3
128	P20827	EFNA1
129	P21462	FPR1
130	P21583	KITLG
131	P21709	EPHA1
132	P21802	FGFR2
133	P21860	ERBB3
134	P21926	CD9
135	P22897	MRC1
136	P23352	ANOS1
137	P23471	PTPRZ1
138	P23510	TNFSF4
139	P25090	FPR2
140	P25189	MPZ
141	P26842	CD27
142	P28067	HLA-DMA
143	P28068	HLA-DMB
144	P28335	HTR2C
145	P28827	PTPRM
