Membrane proteins UniProt Membrane proteins Gene symbol
O14786 NRP1
O60462 NRP2
P08138 NGFR
P17813 ENG
P34925 RYK
P98164 LRP2
Q01973 ROR1
Q01974 ROR2
Q13145 BAMBI
Q4KMG0 CDON
Q86Z14 KLB
Q9BWV1 BOC
Q9UEF7 KL
A4D0S4 LAMB4
A6NDA9 LRIT2
A6NI73 LILRA5
A8K4G0 CD300LB
B6A8C7 TARM1
COMPLEX:O15230_P07942_P11047 LAMA5_LAMB1_LAMC1
COMPLEX:P01857_P0CG04 IGHG1_IGLC1
COMPLEX:P05106_P06756 ITGAV_ITGB3
COMPLEX:P05106_P08514 ITGA2B_ITGB3
COMPLEX:P05107_P11215 ITGAM_ITGB2
COMPLEX:P05107_P20701 ITGAL_ITGB2
COMPLEX:P05107_P20702 ITGAX_ITGB2
COMPLEX:P05107_Q13349 ITGAD_ITGB2
COMPLEX:P05556_P08648 ITGA5_ITGB1
COMPLEX:P05556_P13612 ITGA4_ITGB1
COMPLEX:P05556_Q13797 ITGA9_ITGB1
COMPLEX:P07942_P11047_P25391 LAMA1_LAMB1_LAMC1
COMPLEX:P07942_P11047_Q16363 LAMA4_LAMB1_LAMC1
COMPLEX:P13612_P26010 ITGA4_ITGB7
COMPLEX:P14770_P40197 GP5_GP9
COMPLEX:P17181_P48551 IFNAR1_IFNAR2
COMPLEX:Q13751_Q13753_Q16787 LAMA3_LAMB3_LAMC2
F7VJQ1 PRNP
O00206 TLR4
O00220 TNFRSF10A
O00222 GRM8
O00238 BMPR1B
O00300 TNFRSF11B
O00478 BTN3A3
O00481 BTN3A1
O00533 CHL1
O00548 DLL1
O00592 PODXL
O14514 ADGRB1
O14522 PTPRT
O14594 NCAN
O14672 ADAM10
O14713 ITGB1BP1
O14763 TNFRSF10B
O14788 TNFSF11
O14836 TNFRSF13B
O14931 NCR3
O15031 PLXNB2
O15146 MUSK
O15197 EPHB6
O15230 LAMA5
O15335 CHAD
O15389 SIGLEC5
O15394 NCAM2
O15455 TLR3
O43155 FLRT2
O43157 PLXNB1
O43184 ADAM12
O43300 LRRTM2
O43506 ADAM20
O43508 TNFSF12
O43557 TNFSF14
O43570 CA12
O43699 SIGLEC6
O43854 EDIL3
O43914 TYROBP
O60353 FZD6
O60469 DSCAM
O60486 PLXNC1
O60603 TLR2
O60635 TSPAN1
O60939 SCN2B
O75015 FCGR3B
O75019 LILRA1
O75022 LILRB3
O75051 PLXNA2
O75054 IGSF3
O75056 SDC3
O75077 ADAM23
O75084 FZD7
O75121 MFAP3L
O75144 ICOSLG
O75325 LRRN2
O75326 SEMA7A
O75487 GPC4
O75581 LRP6
O75871 CEACAM4
O75888 TNFSF13
O76036 NCR1
O94856 NFASC
O94933 SLITRK3
O95150 TNFSF15
O95185 UNC5C
O95206 PCDH8
O95407 TNFRSF6B
O95467 GNAS
O95727 CRTAM
O95754 SEMA4F
O95866 MPIG6B
O95971 CD160
O95980 RECK
P00533 EGFR
P01130 LDLR
P01589 IL2RA
P01730 CD4
P01732 CD8A
P01833 PIGR
P01889 HLA-B
P01903 HLA-DRA
P01911 HLA-DRB1
P02452 COL1A1
P02458 COL2A1
P02647 APOA1
P02751 FN1
P02786 TFRC
P02787 TF
P04083 ANXA1
P04156 PRNP
P04216 THY1
P04233 CD74
P04234 CD3D
P04430 IGKV1-16
P04439 HLA-A
P04626 ERBB2
P04628 WNT1
P04629 NTRK1
P05026 ATP1B1
P05067 APP
P05106 ITGB3
P05107 ITGB2
P05362 ICAM1
P05556 ITGB1
P06127 CD5
P06213 INSR
P06729 CD2
P06744 GPI
P06756 ITGAV
P06858 LPL
P07202 TPO
P07333 CSF1R
P07355 ANXA2
P07359 GP1BA
P07550 ADRB2
P07585 DCN
P07900 HSP90AA1
P07942 LAMB1
P07949 RET
P07996 THBS1
P08069 IGF1R
P08123 COL1A2
P08174 CD55
P08238 HSP90AB1
P08514 ITGA2B
P08571 CD14
P08575 PTPRC
P08581 MET
P08648 ITGA5
P08865 RPSA
P08887 IL6R
P08908 HTR1A
P08962 CD63
P09326 CD48
P09564 CD7
P09619 PDGFRB
P10124 SRGN
P10321 HLA-C
P10586 PTPRF
P10721 KIT
P10747 CD28
P10909 CLU
P10912 GHR
P11047 LAMC1
P11215 ITGAM
P11362 FGFR1
P11717 IGF2R
P11836 MS4A1
P11912 CD79A
P12259 F5
P12314 FCGR1A
P12318 FCGR2A
P12319 FCER1A
P12830 CDH1
P13164 IFITM1
P13224 GP1BB
P13591 NCAM1
P13598 ICAM2
P13611 VCAN
P13612 ITGA4
P13688 CEACAM1
P13726 F3
P13747 HLA-E
P14151 SELL
P14209 CD99
P14416 DRD2
P14770 GP9
P14778 IL1R1
P14784 IL2RB
P15151 PVR
P15260 IFNGR1
P15391 CD19
P15529 CD46
P15813 CD1D
P15907 ST6GAL1
P15941 MUC1
P16070 CD44
P16109 SELP
P16112 ACAN
P16144 ITGB4
P16150 SPN
P16234 PDGFRA
P16284 PECAM1
P16410 CTLA4
P16471 PRLR
P16473 TSHR
P16581 SELE
P16671 CD36
P16871 IL7R
P17181 IFNAR1
P17301 ITGA2
P17693 HLA-G
P17948 FLT1
P18084 ITGB5
P18564 ITGB6
P19022 CDH2
P19235 EPOR
P19256 CD58
P19320 VCAM1
P19397 CD53
P19438 TNFRSF1A
P20023 CR2
P20138 CD33
P20273 CD22
P20333 TNFRSF1B
P20594 NPR2
P20701 ITGAL
P20827 EFNA1
P21453 S1PR1
P21462 FPR1
P21589 NT5E
P21709 EPHA1
P21731 TBXA2R
P21802 FGFR2
P21815 IBSP
P21860 ERBB3
P21926 CD9
P22105 TNXB
P22455 FGFR4
P22607 FGFR3
P22888 LHCGR
P22897 MRC1
P23229 ITGA6
P23352 ANOS1
P23467 PTPRB
P23468 PTPRD
P23470 PTPRG
P23471 PTPRZ1
P23510 TNFSF4
P24043 LAMA2
P24071 FCAR
P24394 IL4R
P24530 EDNRB
P24821 TNC
P25025 CXCR2
P25090 FPR2
P25101 EDNRA
P25105 PTAFR
P25106 ACKR3
P25116 F2R
P25189 MPZ
P25391 LAMA1
P25445 FAS
P25940 COL5A3
P25942 CD40
P26006 ITGA3
P26012 ITGB8
P26718 KLRK1
P26842 CD27
P26992 CNTFR
P27037 ACVR2A
P27487 DPP4
P27701 CD82
P27797 CALR
P27930 IL1R2
P28221 HTR1D
P28222 HTR1B
P28827 PTPRM
P28906 CD34
P28908 TNFRSF8
P29016 CD1B
P29274 ADORA2A
P29275 ADORA2B
P29317 EPHA2
P29320 EPHA3
P29322 EPHA8
P29323 EPHB2
P30203 CD6
P30511 HLA-F
P30518 AVPR2
P30530 AXL
P30542 ADORA1
P30556 AGTR1
P31431 SDC4
P31785 IL2RG
P31997 CEACAM8
P32004 L1CAM
P32239 CCKBR
P32246 CCR1
P32927 CSF2RB
P32942 ICAM3
P32970 CD70
P32971 TNFSF8
P33151 CDH5
P33681 CD80
P34741 SDC2
P35052 GPC1
P35348 ADRA1A
P35368 ADRA1B
P35372 OPRM1
P35442 THBS2
P35443 THBS4
P35590 TIE1
P35613 BSG
P35916 FLT4
P35968 KDR
P36894 BMPR1A
P36897 TGFBR1
P36941 LTBR
P37023 ACVRL1
P37173 TGFBR2
P38484 IFNGR2
P39060 COL18A1
P39905 GDNF
P40189 IL6ST
P40197 GP5
P40198 CEACAM3
P40199 CEACAM6
P40200 CD96
P40238 MPL
P40259 CD79B
P41217 CD200
P41594 GRM5
P41597 CCR2
P42081 CD86
P42701 IL12RB1
P42702 LIFR
P43119 PTGIR
P43121 MCAM
P43146 DCC
P43489 TNFRSF4
P43629 KIR3DL1
P43630 KIR3DL2
P43632 KIR2DS4
P46531 NOTCH1
P47871 GCGR
P48023 FASLG
P48039 MTNR1A
P48357 LEPR
P48509 CD151
P48551 IFNAR2
P48960 ADGRE5
P49746 THBS3
P49763 PGF
P50281 MMP14
P50406 HTR6
P51511 MMP15
P51512 MMP16
P51679 CCR4
