,DC_Healthy,DC_Severe,Epithelial_2_Healthy,Epithelial_2_Severe
IARS2,4.312188206,5.103166833,4.818933785,NaN
PSMB7,5.466816024,6.204991508,4.889139693,5.555307493
RNF10,5.669271496,4.736992539,4.891542416,4.073004706
WDR26,4.367266321,3.873803508,4.900873917,NaN
FCGRT,7.765769306,7.652228004,4.932421689,5.996702856
THAP12,5.563286796,4.498096191,4.940151738,5.555307493
DNAJA2,4.808099838,4.8283802,4.940931899,4.073004706
EVI5,4.729037305,4.053124115,4.946435172,5.073004706
CYTH2,4.963542955,4.379662522,4.971231077,5.073004706
BEX4,4.4600392,4.584026595,4.976044259,NaN
PRDX4,5.848932943,6.009682028,4.988540822,9.006464214
NCBP2-AS2,4.279413283,4.47020083,4.993204213,NaN
RRAGA,4.417197399,4.62752,4.995725033,5.555307493
HDGFL2,4.258651707,3.995196113,5.006676531,NaN
UQCC3,3.928309896,5.382157287,5.010245425,NaN
BUD23,6.633245873,6.174046967,5.011591627,6.555307493
RUFY2,2.879277439,3.274880406,5.01306269,NaN
ELOC,5.878817728,6.204759866,5.015491882,NaN
NIPAL3,4.768306265,3.903548081,5.017712256,NaN
SNRPC,5.350932272,5.80760071,5.019017614,NaN
EIF4E2,5.354727749,5.898882939,5.020480752,NaN
FBXW11,3.561850782,3.410863817,5.025179191,NaN
GOLGA7,4.165230583,4.224303479,5.028330261,NaN
PRPF19,4.310157674,3.977787571,5.032476465,5.555307493
ATF7,2.624584577,NaN,5.033079202,NaN
MAX,4.867791406,5.258931924,5.034665152,NaN
CRCP,4.487047635,4.541064058,5.038798071,NaN
TMEM9B,5.454703465,5.882729146,5.039573569,5.996702856
ARHGEF9,2.48828133,NaN,5.039767283,5.555307493
CERS6,2.972090013,4.758609666,5.04004147,NaN
TMEM50B,6.55316475,5.393669262,5.040467535,NaN
SYNC,4.021121605,4.050567283,5.042484409,5.555307493
PRKAG1,5.149656946,5.327127576,5.042811506,NaN
C12orf65,4.451320067,4.962379737,5.044394382,NaN
NOL11,3.957438929,4.699729199,5.046272465,NaN
SMIM37,4.15464303,NaN,5.046861224,5.996702856
PPAN,3.811650546,4.410201615,5.047076778,NaN
ZC2HC1A,3.175660595,3.201157269,5.047834381,NaN
PLEKHJ1,5.210940035,5.474061184,5.04874948,4.073004706
C1D,5.678534383,5.21178978,5.050730204,NaN
TMEM219,6.358339054,6.266752593,5.052273755,5.073004706
CSNK1G3,4.126574532,4.484156206,5.052514922,NaN
AKT2,3.994901828,3.480631616,5.057293512,5.657967207
METTL9,5.335050312,5.819762573,5.06111727,NaN
TMEM205,4.928171394,3.711097968,5.062419369,4.073004706
SNAI2,NaN,NaN,5.069699255,NaN
COIL,3.118396702,5.137738612,5.0698392,NaN
GRB2,6.9073418,7.345391421,5.07043747,6.334217577
FOXK1,4.697823166,4.93658106,5.07532152,NaN
PCMT1,5.215474925,5.813437946,5.076874649,4.073004706
LRRC8D,3.453240128,NaN,5.077989923,NaN
MYL6B,3.824170969,3.708969337,5.077997628,5.555307493
VEGFB,6.111675713,6.406992287,5.079599835,5.555307493
TRAPPC3,5.801290639,6.124208085,5.082194528,5.996702856
COPB1,5.720835283,6.054317025,5.087676868,5.996702856
KPNA1,4.946311428,4.548974103,5.088632858,NaN
DVL3,3.805911134,NaN,5.089572512,4.073004706
NAA16,3.849147803,NaN,5.091347123,5.555307493
DCTN3,5.641952428,6.307356066,5.094044065,NaN
DIS3L,3.181590491,4.035256291,5.094541364,NaN
SSX2IP,NaN,NaN,5.097037519,NaN
RHEB,6.170261219,6.136159611,5.101179489,5.555307493
EIF2B4,NaN,4.868939151,5.102645,4.073004706
C19orf48,4.268785383,3.374004152,5.104304003,4.073004706
GAR1,2.817742586,4.949267959,5.108996503,NaN
NDUFS4,6.401277775,6.596938864,5.112061152,NaN
PQBP1,5.923445451,5.667786736,5.113400492,5.996702856
STIM2,5.685833763,5.112958827,5.113719799,NaN
PGAP2,4.060466945,NaN,5.116729574,NaN
LIN7C,2.769955651,NaN,5.117341676,NaN
BTN3A2,2.811420536,3.859998752,5.12087102,NaN
ZCRB1,6.369556553,6.212776077,5.122948134,4.073004706
NSMCE4A,4.788384007,5.066704966,5.123412445,NaN
RMDN1,4.507692034,4.726190793,5.1242932,NaN
PAN3,4.714153021,4.508604264,5.124684817,NaN
FBXW2,3.727336977,4.163937627,5.127506003,NaN
MED19,4.676434269,3.859523985,5.127515303,4.073004706
THRA,NaN,NaN,5.128782209,5.555307493
NCOA4,5.738162872,5.130612524,5.131249834,NaN
RAPGEFL1,NaN,NaN,5.132364686,NaN
HDDC2,3.912507852,4.641850672,5.134198089,NaN
MTCH2,4.730139808,6.401855192,5.134282078,NaN
PARD3B,NaN,NaN,5.134622769,NaN
KAT7,4.169671008,3.773380027,5.135445026,NaN
HIST1H4C,5.88417959,5.695098456,5.136347598,6.555307493
C1orf43,5.981159069,6.305356304,5.137323743,5.996702856
CDC123,5.264387897,5.891939749,5.138219436,NaN
ANP32A,5.609544381,6.963088246,5.138273651,NaN
FBXO21,3.387343933,3.442899256,5.14001327,NaN
UBAC2,5.105439582,4.484392482,5.14133196,NaN
CLDND1,5.489941247,3.85709291,5.143736496,4.073004706
MRPL14,4.878628523,5.938912563,5.144358425,NaN
TOMM22,6.235125884,6.659449701,5.145505445,4.073004706
KPNA3,5.523020139,4.846201546,5.146682245,NaN
LARGE2,NaN,NaN,5.147663707,NaN
AIDA,5.485931314,4.778966938,5.148948441,NaN
DPH6,NaN,NaN,5.149290865,NaN
METAP1,3.660308751,4.414345873,5.150086378,NaN
ARL2,4.812883669,5.951033598,5.150643249,5.555307493
UPF3B,5.371692754,5.482865638,5.152162579,NaN
NOL3,NaN,4.251180312,5.154656126,5.555307493
HIPK1,4.145566414,4.85277035,5.155409758,NaN
UCHL3,5.79405506,5.838176123,5.156451338,NaN
PCNT,3.596732355,3.872848303,5.15847544,NaN
NOP16,4.540133841,3.813746675,5.158777167,NaN
PDE4B,6.912772133,7.28468744,5.159908533,7.140269993
TCF12,4.977102452,4.035874537,5.160647495,NaN
MRTO4,4.192495458,4.268550618,5.162459769,4.073004706
SELENOK,7.336466774,6.849362551,5.162653053,6.996702856
HDAC3,5.265110478,5.422242215,5.164170952,NaN
RECQL,5.374699995,4.74063826,5.16503373,NaN
DCAF6,NaN,3.84584836,5.167134111,NaN
MAP1LC3B,6.358714338,6.735457242,5.16778286,6.792820465
